index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes
66,tm21953,Sam Kinison: Breaking the Rules,MOVIE,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",1987,R,50,tt0307403,7.2,651.0
67,tm152839,Tim Allen: Men Are Pigs,MOVIE,"Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,,30,tt0259057,6.0,353.0
68,tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1982,R,77,tt0084352,7.9,15186.0
69,tm114356,The George McKenna Story,MOVIE,"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",1988,,100,tt0091106,6.0,901.0
70,tm147829,Unspeakable Acts,MOVIE,Two psychologist try to demonstrate that a man is a pedophile and has abused many children.,1990,,100,tt0100848,6.0,448.0
71,tm126769,Waiting for the Hearse,MOVIE,"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",1985,,87,tt0089108,8.0,6285.0
72,tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.",1982,,144,tt0159511,7.7,1210.0
73,tm159912,Agneepath,MOVIE,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?",1990,,174,tt0098999,7.6,8902.0
74,tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",1989,,72,tt0213984,8.1,1522.0
75,tm38736,Too Young The Hero,MOVIE,"TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.",1988,,100,tt0096286,6.7,494.0
76,tm258072,Adam: His Song Continues,MOVIE,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",1986,,100,tt0090589,7.0,209.0
77,tm52815,Disco Dancer,MOVIE,"Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.",1982,,134,tt0208903,6.5,1449.0
78,tm137013,The Ryan White Story,MOVIE,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",1989,,102,tt0098237,7.2,857.0
79,tm157853,In Defense of a Married Man,MOVIE,"When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?",1990,,94,tt0099833,5.6,200.0
80,tm157603,Dil,MOVIE,"Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.",1990,,172,tt0099429,6.6,5273.0
81,tm45720,Bye Bye London,MOVIE,"A comedy about an old married man that travels to London with his nephew who does his to save him from exposure to fraud, and being mugged in London, the play also covers some political aspects and projections in addition to social criticism of some of the Arab situations.",1982,,170,tt10130668,8.699999999999998,154.0
82,tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,"Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",1988,,100,tt0095945,7.1,144.0
83,tm151332,"Alexandria, Again and Forever",MOVIE,"Set in 1987 against the backdrop of a hunger strike by the Egyptian film industry, Chahine himself steps in to play Yehia, the famed Egyptian director whose life is chronicled in ""Alexandria, Why?"" and ""An Egyptian Story"". Obsessed with Amr, the handsome actor he discovered and cast as his alter-ego in parts one and two of The Alexandria Trilogy, Yehia pressures Amr to star in various film projects that change even as Yehia's perception of the young actor begins to change. He first casts Amr as Hamlet, which the actor deems too demanding for his talents, then as the lead in a musical biopic of demigod Alexander the Great, who founded the city of Alexandria in 332 B.C.",1989,,105,tt0099858,6.5,643.0
84,tm24110,Strange Voices,MOVIE,A family begins to fall apart when their eldest daughter is diagnosed with schizophrenia.,1987,,100,tt0094052,6.3,357.0
85,tm348735,Aakhri Adaalat,MOVIE,Inspector Amar Kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. Eventually Amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.,1988,,148,tt0177505,5.1,92.0
86,tm51083,A Stoning in Fulham County,MOVIE,Religious beliefs clash with the law when an Amish infant is killed in a rural community.,1988,,120,tt0096179,5.8,380.0
87,tm311264,Muqaddar Ka Faisla,MOVIE,"Muqaddar ka Faisla, is the story of Pandit Krishna Kant. A poor, but extremely honest, upright, God-fearing man, who refuses to compromise on his principles.",1987,,172,tt0239682,4.8,68.0
88,tm172482,Sohni Mahiwal,MOVIE,"Shahjada Ijjat Beg comes to India with his caravan and settles in a town in Gujrat. Here he falls in love with Sohani, who keeps a shop in metal pots. Ijjat Beg buys pot from her with whatever money he had and they were attracted to each other. Sohni dispensed with her servant and kept Ijjat Beg instead. This gave them more opportunity to meet. This was a scandal in the town and Sohni was perforce married to Rehaman who was slightly off his head. Sohni continued her meeting Ijjat Beg who went out fishing. When the atmosphere became to hot for them they jointly took a water grave for their love.",1984,,160,tt0807047,6.1,297.0
89,tm52274,The Little Wars,MOVIE,"Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.",1982,,108,tt0084492,6.3,149.0
90,tm342996,Duniya,MOVIE,"Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch helplessly as his wife is killed. Years later, Mohan Kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. With the help of Dinesh Verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. The trio are well aware of his presence, and decide to send one of their men, Ravi, to spy on him. Ravi falls in love with Verma's daughter, Roma, and decides to change sides to help Verma and Mohan, but Mohan will not have anything to do with Ravi, and asks him to leave. Ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over Mohan, who is none other than his own father.Duniya",1984,,170,tt0301231,6.2,241.0
